set_name	gsva_score	sd	up_down
peaksSet4_all_nearest_gene.bed	0.0293924357099591	0.000822169726496115	red
peaksSet5_all_nearest_gene.bed	0.103118025403475	0.00132337088175564	red
peaksSet1_all_nearest_gene.bed	0.126361761718345	0.00142727407731678	red
peaksSet2_all_nearest_gene.bed	0.255469550384588	0.00805593190118481	red
peaksSet3_all_nearest_gene.bed	0.143625617094132	0.00221230044880117	red
ABBUD_LIF_SIGNALING_1_DN	0.0303255991875591	0.0039441325536297	red
ABBUD_LIF_SIGNALING_1_UP	0.0517932325005837	0.0159587685061009	red
ABBUD_LIF_SIGNALING_2_DN	-0.032576800450961	0.0357532764434702	blue
ABBUD_LIF_SIGNALING_2_UP	0.0697394363313075	0.00382928420315633	red
ABDELMOHSEN_ELAVL4_TARGETS	0.128710207949637	0.000883407947666479	red
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	-0.0139470938646817	0.00173217512816295	blue
ABE_INNER_EAR	0.194544388043326	0.00122362422322447	red
ABE_VEGFA_TARGETS	0.016401367342854	0.01030467888295	red
ABE_VEGFA_TARGETS_2HR	0.163383190704553	0.0021027967028209	red
ABE_VEGFA_TARGETS_30MIN	0.0768734573066025	0.000815163267547474	red
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	0.248973459452852	0.00309385772809543	red
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	0.0829586321393	0.00411022381174758	red
ABRAMSON_INTERACT_WITH_AIRE	0.361937737062689	0.0041886990160423	red
ACEVEDO_LIVER_CANCER_DN	0.140703626957555	0.00345835327294931	red
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	-0.0135427913537826	0.00374629060338588	blue
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	-0.0956086523457676	0.00137527819017631	blue
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	0.0317048991308153	0.0030601888798335	red
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	-0.145549162100448	0.00346847017076921	blue
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.0752598818812351	0.000663731992102876	red
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.2252822629477	0.00310596669117544	red
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.172700024265667	0.00653560086760608	red
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	0.146972851632466	0.00174841404811284	red
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.208987651484887	0.00122385373028377	red
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0.18469183830189	0.000415178326687347	red
AFFAR_YY1_TARGETS_DN	0.148331553745264	0.00209750478162147	red
AFFAR_YY1_TARGETS_UP	0.0538161772193838	0.00797933431364407	red
AGARWAL_AKT_PATHWAY_TARGETS	0.0811754574635888	0.00366110040441968	red
