9bc8ff9e-2f36-5094-ac12-b1bf81b53c15	396932ab-c4b3-4526-9201-9222f5f062a5	53891f08-a221-4ca8-a502-cf990bdb6020	Quant.seq.sample2	Quant.seq.sample1	RNA.seq.sample2	RNA.seq.sample1
peaksSet4_all_nearest_gene.bed	0.0737802745020214	0.066971117135887	-0.0312937625300376	0.0288110739210674	0.0299737974988508	0.0167575665789568	0.0153512332236982
peaksSet5_all_nearest_gene.bed	0.212774821582547	0.157218969945664	0.145429981913784	0.102182260878961	0.10405378992799	0.216181992960213	0.208751764521172
peaksSet1_all_nearest_gene.bed	0.16430978832491	0.16278023482161	0.163679741296952	0.127370996897027	0.125352526539663	0.168866357942004	0.166168335095567
peaksSet2_all_nearest_gene.bed	0.310106146693745	0.25518862417448	0.254111751304991	0.249773146308483	0.261165954460693	0.384757363483532	0.380918387232052
peaksSet3_all_nearest_gene.bed	0.215529187022989	0.192276854482255	0.290953270556348	0.142061284444763	0.145189949743501	0.237278959771399	0.232007281510187
ABBUD_LIF_SIGNALING_1_DN	0.215324971483286	0.236499821759531	0.129575133790387	0.027536676312989	0.0331145220621293	0.137828695096816	0.147281481287474
ABBUD_LIF_SIGNALING_1_UP	0.307347227521638	0.322031504495973	0.223233269758929	0.0630777859306339	0.0405086790705334	0.23319366545979	0.230838526211225
ABBUD_LIF_SIGNALING_2_DN	-0.063472040186965	-0.148888581906155	-0.0651698874188709	-0.0578581846737761	-0.00729541622814603	-0.0893952755546785	-0.0780131928990644
ABBUD_LIF_SIGNALING_2_UP	0.283437971589745	0.217086610330662	-0.0328486867247196	0.0724471491584498	0.0670317235041651	0.130616180898968	0.133971924088435
ABDELMOHSEN_ELAVL4_TARGETS	0.267592572353375	0.164254811854939	0.145868081317765	0.129334871699986	0.128085544199288	0.144566283990917	0.156464202588095
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	0.128462105995489	0.0477487859722884	0.0171225588883862	-0.0151719266440084	-0.012722261085355	0.00789262280350581	0.0115212690735889
ABE_INNER_EAR	0.308019714381134	0.266652064958221	0.114758540107308	0.19367915505746	0.195409621029192	0.227710396264064	0.227531602683649
ABE_VEGFA_TARGETS	0.209141273605369	0.186054044808973	0.0713014534323712	0.0236878756589378	0.00911485902677026	-0.00250042276709186	-0.00778715806073516
ABE_VEGFA_TARGETS_2HR	0.273850195007958	0.274758345935495	0.214744854067916	0.161896288896531	0.164870092512574	0.184602349024785	0.174756986124422
ABE_VEGFA_TARGETS_30MIN	0.209457889529522	0.154687208513665	0.080345217710127	0.0762970498323455	0.0774498647808595	0.0752173386158764	0.0802839342288385
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	0.304584597318691	0.357297838296541	0.283879607417955	0.24678577167329	0.251161147232415	0.343899570992668	0.356812447123311
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	0.324231583851336	0.340681430598511	0.0859407972313644	0.0800522650098188	0.0858649992687811	0.203440034129281	0.212472563705425
ABRAMSON_INTERACT_WITH_AIRE	0.318380579173238	0.401579963547632	0.372188675589292	0.364899594541282	0.358975879584096	0.383776601742316	0.38828688256963
ACEVEDO_LIVER_CANCER_DN	0.20119608704188	0.175913751402817	0.106660821241514	0.138258201906513	0.143149052008596	0.17013142451384	0.161585614004357
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0.0145370710250693	0.0167757927817452	0.000328824991271807	-0.010893763863833	-0.0161918188437322	-0.00625613952308782	0.00108064693404772
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	-0.0196133132994512	0.00442083138701265	-0.0702817017847975	-0.0946361838114759	-0.0965811208800592	-0.0798979817946855	-0.0693811986950734
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	-0.0631509855701345	-0.0317331167660298	0.00558898965516577	0.0338687794394573	0.0295410188221734	-0.0317367072119313	-0.0232678703571904
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	-0.0366749331039278	-0.0123870052451884	-0.0312450915556203	-0.148001740878543	-0.143096583322354	-0.0571170723705466	-0.0489951781838096
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.163591128470374	0.118321517881518	0.080895923163936	0.0747905524887287	0.0757292112737415	0.107532890387391	0.103780555893265
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.260658503965813	0.236859467154733	0.157543322760785	0.223086012838231	0.22747851305717	0.216800292586422	0.20764335597842
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.20116866728066	0.258136529666248	0.25630404531707	0.168078656573054	0.17732139195828	0.178732456459281	0.191701114523951
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	0.200303738976978	0.19086117614156	0.138676430176794	0.145736536202724	0.148209167062208	0.195094077603388	0.185147166672137
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.188416749191424	0.199523834923173	0.142230395386714	0.209853046756751	0.208122256213023	0.174674160705825	0.173764546625919
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0.216518182839751	0.236554524231726	0.232671318162817	0.184985413712092	0.184398262891688	0.194793859946588	0.192657527525059
AFFAR_YY1_TARGETS_DN	0.13869931614163	0.194370922239277	0.0913786866888133	0.146848393890608	0.14981471359992	0.180942240297556	0.184424405829688
AFFAR_YY1_TARGETS_UP	0.147684365023475	0.136684141573693	0.0137691049559475	0.0481739358168516	0.0594584186219161	0.0783121372422915	0.0788223674783775
AGARWAL_AKT_PATHWAY_TARGETS	0.278415704416074	0.33744369777903	-0.179512953387964	0.0837642463861588	0.0785866685410189	0.0971672884268599	0.103538977175017
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	0.189642604794269	0.21509559055862	0.21073954964981	0.203137309793138	0.204861709467547	0.166008042718024	0.16563425908666
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	0.233610668874935	0.219911492312009	0.184694419833774	0.260130680906551	0.260912978960801	0.261076855998425	0.256355252159944
AIGNER_ZEB1_TARGETS	-0.158223670710972	0.211072651243449	-0.250276442266405	-0.086484389416949	-0.0882826546153035	-0.230576652415968	-0.234830893344116
AIYAR_COBRA1_TARGETS_DN	0.199678645388776	0.260055730160344	0.241759573139345	0.2304750447909	0.230150631438593	0.246112965639169	0.247135440451961
AIYAR_COBRA1_TARGETS_UP	0.273201589951802	0.236965975789934	0.054149942805921	0.153365297641896	0.165321495369352	0.223427152291055	0.22788846333056
AKL_HTLV1_INFECTION_DN	0.11408818454292	0.16795967753115	0.155711315596775	0.0628136043448966	0.0607887547526393	0.0491551204847737	0.0700418895565044
AKL_HTLV1_INFECTION_UP	0.310239119045716	0.299832235303664	0.191619566826852	0.253653740425245	0.241639386157421	0.163262109100685	0.169661347275312
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	0.189309005819743	0.212184055412055	0.208808735805693	0.0554600002128989	0.0650808439169796	0.0885200133446963	0.0856529478511
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.108785144819228	0.123736946532378	-0.0541303857434373	0.0499926101053715	0.0526215251826093	0.0891413647956197	0.0922666485272023
ALCALA_APOPTOSIS	0.291323341143147	0.342544323759644	0.308339731282364	0.219755004535669	0.232835576470729	0.222041534147334	0.22110566983607
ALFANO_MYC_TARGETS	0.277012355317143	0.281191954628148	0.161926683157862	0.199141597996185	0.20167679406478	0.261898524132408	0.257315191327349
ALONSO_METASTASIS_DN	-0.0666276684751669	-0.0259026715927322	0.0661212645322905	-0.0266912818236275	-0.0262968181863333	0.0161126810850318	0.0162103787583346
ALONSO_METASTASIS_EMT_DN	-0.215129853143403	-0.202604230232025	-0.239536011789243	-0.151627909075325	-0.154720398978298	-0.27594313551507	-0.268645683861318
ALONSO_METASTASIS_EMT_UP	0.322101136283027	0.342487828258282	0.098012634303738	0.270633441284821	0.271026455531076	0.308405015323366	0.330211136666431
ALONSO_METASTASIS_NEURAL_UP	0.266894102296368	0.217354094630523	0.0285995294871721	0.190342157068535	0.196715123811222	0.202134975760981	0.219340964122475
ALONSO_METASTASIS_UP	0.260702498178305	0.30454831922055	0.225230122569905	0.293204974010328	0.298068918565861	0.270222428388382	0.27700970139504
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	0.136074622641015	0.204772119137781	0.0756851360983111	0.00667853232734932	0.0209526723590829	0.0529315598344307	0.0533695913348052
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	0.135731147327377	0.10046894091276	0.0811857353745638	0.0516329798419237	0.0423938528981275	0.0686852472454916	0.0570676997717549
AMIT_DELAYED_EARLY_GENES	0.390061817030189	0.341381873217496	0.389728934936144	0.301824756699796	0.32061532201066	0.361030273388162	0.371085572550652
AMIT_EGF_RESPONSE_120_HELA	0.273540011302671	0.286948597366331	0.202853859773298	0.188028075795442	0.200605027805679	0.266659645783184	0.259187040749074
AMIT_EGF_RESPONSE_120_MCF10A	0.219950147724266	0.205296528302088	0.127026506366118	0.221917365428328	0.233676132526619	0.256625888140908	0.253323791664492
AMIT_EGF_RESPONSE_20_HELA	0.322644870240811	0.260613113783285	0.286713120386575	0.173460341786776	0.16546737540756	0.257235953566093	0.266074158524399
AMIT_EGF_RESPONSE_20_MCF10A	0.409196258835778	0.423660761437032	0.170046725038551	0.252352759622029	0.270304773253409	0.408794975608283	0.404186511134475
AMIT_EGF_RESPONSE_240_HELA	0.22209650697624	0.243974977764688	0.134798622513541	0.211730245900005	0.222482946717404	0.287594425750477	0.287452734640945
AMIT_EGF_RESPONSE_240_MCF10A	0.152370860387867	0.154385049450328	0.0883490380794317	0.0980369706567004	0.114321602983607	0.167986443318035	0.156382707045171
AMIT_EGF_RESPONSE_40_HELA	0.303670548657992	0.295492014642888	0.312638153876608	0.187766609784392	0.193228469496805	0.270097793660105	0.278031432485065
AMIT_EGF_RESPONSE_40_MCF10A	0.322527420732962	0.325582115781677	0.283233108309503	0.22595575274803	0.254014540627316	0.318628003485265	0.314446059388007
AMIT_EGF_RESPONSE_480_HELA	0.312393812050943	0.293632802540503	0.161279056480224	0.240819666455345	0.245282866734363	0.326312609149389	0.31610887052364
AMIT_EGF_RESPONSE_480_MCF10A	0.152615229452118	0.147142210269098	0.0517571073266559	0.16107008613252	0.155564899478271	0.179279747618452	0.172220621357995
AMIT_EGF_RESPONSE_60_HELA	0.266002097436895	0.275843899043362	0.257452343432706	0.220009249801041	0.237996161422807	0.312589216585139	0.329110653186955
AMIT_EGF_RESPONSE_60_MCF10A	0.299229586441729	0.304699564236152	0.15563818604638	0.221799062174473	0.229759942436852	0.295407660555541	0.299438035539607
AMIT_SERUM_RESPONSE_120_MCF10A	0.216233275584871	0.243023068167573	0.18827390160895	0.217211868227977	0.230328078314654	0.240213067577451	0.240612545856656
